CMDLINE /home/advice/miniconda3/envs/torch_exp_dataset/bin/python /home/docker/side/torchcsvdataset/test/vaex_test.py
MEM 288.949219 1626410857.2536
MEM 288.949219 1626410857.3669
MEM 288.949219 1626410857.4795
MEM 288.949219 1626410857.5930
MEM 288.949219 1626410857.7028
MEM 288.949219 1626410857.8169
MEM 288.949219 1626410857.9305
MEM 288.949219 1626410858.0436
MEM 288.949219 1626410858.1571
MEM 288.949219 1626410858.2693
MEM 288.949219 1626410858.3832
MEM 288.949219 1626410858.4989
MEM 288.949219 1626410858.6119
MEM 288.949219 1626410858.7259
MEM 288.949219 1626410858.8395
MEM 288.949219 1626410858.9531
MEM 288.949219 1626410859.0662
MEM 288.949219 1626410859.1798
MEM 288.949219 1626410859.2936
MEM 288.949219 1626410859.4073
MEM 288.949219 1626410859.5207
MEM 288.949219 1626410859.6342
MEM 288.949219 1626410859.7441
MEM 288.949219 1626410859.8573
MEM 288.949219 1626410859.9708
MEM 288.949219 1626410860.0859
MEM 288.949219 1626410860.1996
MEM 288.949219 1626410860.3138
MEM 288.949219 1626410860.4258
MEM 288.949219 1626410860.5399
MEM 288.949219 1626410860.6546
MEM 288.949219 1626410860.7692
MEM 288.949219 1626410860.8816
MEM 288.949219 1626410860.9950
MEM 288.949219 1626410861.1079
MEM 288.949219 1626410861.2209
MEM 288.949219 1626410861.3341
MEM 288.949219 1626410861.4473
MEM 288.949219 1626410861.5609
MEM 288.949219 1626410861.6740
MEM 288.949219 1626410861.7876
MEM 288.949219 1626410861.9016
MEM 288.949219 1626410862.0144
MEM 288.949219 1626410862.1283
MEM 288.949219 1626410862.2418
MEM 288.949219 1626410862.3557
MEM 288.949219 1626410862.4697
MEM 288.949219 1626410862.5843
MEM 288.949219 1626410862.6979
MEM 288.949219 1626410862.8109
MEM 288.949219 1626410862.9256
MEM 288.949219 1626410863.0392
MEM 288.949219 1626410863.1516
MEM 288.949219 1626410863.2656
MEM 288.949219 1626410863.3791
MEM 288.949219 1626410863.4898
MEM 288.949219 1626410863.6022
MEM 288.949219 1626410863.7139
MEM 288.949219 1626410863.8263
MEM 288.949219 1626410863.9398
MEM 288.949219 1626410864.0579
MEM 288.949219 1626410864.1702
MEM 288.949219 1626410864.2836
MEM 288.949219 1626410864.3972
MEM 288.949219 1626410864.5094
MEM 288.949219 1626410864.6228
MEM 288.949219 1626410864.7339
MEM 288.949219 1626410864.8474
MEM 288.949219 1626410864.9610
MEM 288.949219 1626410865.0744
MEM 288.949219 1626410865.1881
MEM 289.015625 1626410865.3011
MEM 289.015625 1626410865.4132
MEM 289.015625 1626410865.5265
MEM 289.015625 1626410865.6393
MEM 289.015625 1626410865.7524
MEM 289.015625 1626410865.8655
MEM 289.015625 1626410865.9780
MEM 289.015625 1626410866.0910
MEM 289.015625 1626410866.2045
MEM 289.015625 1626410866.3181
MEM 289.015625 1626410866.4302
MEM 289.015625 1626410866.5448
MEM 289.015625 1626410866.6577
MEM 289.015625 1626410866.7714
MEM 289.015625 1626410866.8850
MEM 289.015625 1626410866.9985
MEM 289.015625 1626410867.1121
MEM 289.015625 1626410867.2249
MEM 289.015625 1626410867.3383
MEM 289.015625 1626410867.4511
MEM 289.015625 1626410867.5636
MEM 289.015625 1626410867.6735
MEM 289.015625 1626410867.7865
MEM 289.015625 1626410867.8963
MEM 289.015625 1626410868.0099
MEM 289.015625 1626410868.1221
MEM 289.015625 1626410868.2348
MEM 289.015625 1626410868.3477
MEM 289.015625 1626410868.4611
MEM 289.015625 1626410868.5746
MEM 289.015625 1626410868.6871
MEM 289.015625 1626410868.8006
MEM 289.015625 1626410868.9138
MEM 289.015625 1626410869.0278
MEM 289.089844 1626410869.1404
MEM 289.089844 1626410869.2529
MEM 289.156250 1626410869.3666
MEM 289.156250 1626410869.4802
MEM 289.156250 1626410869.5932
MEM 289.156250 1626410869.7069
MEM 289.156250 1626410869.8222
